weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,Income: Total households,"Income: #, Household income less than $35,000","Income: %, Household income less than $35,000","Income: #, Household income $35,000 to $74,999","Income: %, Household income $35,000 to $74,999","Income: #, Household income $75,000 to $200,000","Income: %, Household income $75,000 to $200,000","Income: #, Household income $200,000 or more","Income: %, Household income $200,000 or more",Income: Median household income
[object GeneralizedGeometry],39326,PIERCE,24,70.4,Pierce,[object GeneralizedGeometry],6890,3092,44.9,2221,32.2,1489,21.6,88,1.3,40247
[object GeneralizedGeometry],56658,PIKE,19.7,72.6,Pike,[object GeneralizedGeometry],6017,1760,29.3,2334,38.8,1813,30.1,110,1.8,51338
[object GeneralizedGeometry],38861,POLK,20.9,71.2,Polk,[object GeneralizedGeometry],14694,6714,45.7,4792,32.6,2972,20.2,216,1.5,37853
[object GeneralizedGeometry],34659,PULASKI,23.5,72.2,Pulaski,[object GeneralizedGeometry],3947,1808,45.8,1336,33.8,790,20,13,0.3,38750
[object GeneralizedGeometry],40115,PUTNAM,22.3,72.9,Putnam,[object GeneralizedGeometry],8462,3242,38.3,2904,34.3,2044,24.2,272,3.2,44299
[object GeneralizedGeometry],32750,QUITMAN,12.3,70,Quitman,[object GeneralizedGeometry],1015,563,55.5,349,34.4,99,9.8,4,0.4,31487
[object GeneralizedGeometry],32995,RABUN,21.2,74.9,Rabun,[object GeneralizedGeometry],6789,3380,49.8,1908,28.1,1310,19.3,191,2.8,35211
[object GeneralizedGeometry],32688,RANDOLPH,22,71.9,Randolph,[object GeneralizedGeometry],2794,1631,58.4,842,30.1,263,9.4,58,2.1,28377
[object GeneralizedGeometry],38952,RICHMOND,20.9,70.3,Richmond,[object GeneralizedGeometry],71724,33690,47,22112,30.8,14726,20.5,1196,1.7,37424
[object GeneralizedGeometry],54704,ROCKDALE,20.6,75.6,Rockdale,[object GeneralizedGeometry],29623,9848,33.2,10976,37.1,8195,27.7,604,2,50455
[object GeneralizedGeometry],40612,SCHLEY,17.9,72.5,Schley,[object GeneralizedGeometry],1879,815,43.4,647,34.4,394,21,23,1.2,39375
[object GeneralizedGeometry],34634,SCREVEN,22,70.6,Screven,[object GeneralizedGeometry],5290,2686,50.8,1578,29.8,953,18,73,1.4,34466
[object GeneralizedGeometry],28909,SEMINOLE,36.4,72.9,Seminole,[object GeneralizedGeometry],3301,1655,50.1,952,28.8,667,20.2,27,0.8,34905
[object GeneralizedGeometry],40655,SPALDING,21.4,71.2,Spalding,[object GeneralizedGeometry],22717,10235,45.1,7338,32.3,4770,21,374,1.6,40246
[object GeneralizedGeometry],37535,STEPHENS,23.9,72.7,Stephens,[object GeneralizedGeometry],9198,4274,46.5,2887,31.4,1909,20.8,128,1.4,40315
[object GeneralizedGeometry],28222,STEWART,27.5,70,Stewart,[object GeneralizedGeometry],1731,1134,65.5,427,24.7,159,9.2,11,0.6,21118
[object GeneralizedGeometry],33528,SUMTER,21.6,72.5,Sumter,[object GeneralizedGeometry],11403,6001,52.6,3342,29.3,1919,16.8,141,1.2,32758
[object GeneralizedGeometry],26750,TALBOT,22.4,70,Talbot,[object GeneralizedGeometry],2665,1369,51.4,851,31.9,410,15.4,35,1.3,34078
[object GeneralizedGeometry],24390,TALIAFERRO,27,71.2,Taliaferro,[object GeneralizedGeometry],707,441,62.4,199,28.1,67,9.5,0,0,26306
[object GeneralizedGeometry],36520,TATTNALL,21.4,71.6,Tattnall,[object GeneralizedGeometry],7880,3991,50.6,2356,29.9,1394,17.7,139,1.8,33980
[object GeneralizedGeometry],28402,TAYLOR,22.8,72.9,Taylor,[object GeneralizedGeometry],3405,1921,56.4,1007,29.6,434,12.7,43,1.3,28143
[object GeneralizedGeometry],24469,TELFAIR,28.6,72.1,Telfair,[object GeneralizedGeometry],5289,3282,62.1,1354,25.6,634,12,19,0.4,26449
[object GeneralizedGeometry],32855,TERRELL,22.2,71.9,Terrell,[object GeneralizedGeometry],3312,1803,54.4,904,27.3,587,17.7,18,0.5,28688
[object GeneralizedGeometry],31471,THOMAS,17.1,71.8,Thomas,[object GeneralizedGeometry],17385,8296,47.7,5863,33.7,2880,16.6,346,2,36641
[object GeneralizedGeometry],37033,TIFT,24.7,72.1,Tift,[object GeneralizedGeometry],14127,6736,47.7,4011,28.4,2987,21.1,393,2.8,37653
[object GeneralizedGeometry],31757,TOOMBS,23.3,72.2,Toombs,[object GeneralizedGeometry],10681,5424,50.8,3083,28.9,1971,18.5,203,1.9,33679
[object GeneralizedGeometry],35843,TOWNS,20.1,74.9,Towns,[object GeneralizedGeometry],4268,1998,46.8,1554,36.4,676,15.8,40,0.9,37000
[object GeneralizedGeometry],35960,TREUTLEN,25.7,71.6,Treutlen,[object GeneralizedGeometry],2627,1193,45.4,983,37.4,400,15.2,51,1.9,38596
[object GeneralizedGeometry],40246,TROUP,20.9,72.7,Troup,[object GeneralizedGeometry],24645,10714,43.5,8181,33.2,5014,20.3,736,3,41489
[object GeneralizedGeometry],27056,TURNER,25.2,70.8,Turner,[object GeneralizedGeometry],3013,1610,53.4,835,27.7,525,17.4,43,1.4,31806
[object GeneralizedGeometry],30533,TWIGGS,22.4,71.5,Twiggs,[object GeneralizedGeometry],3022,1729,57.2,662,21.9,628,20.8,3,0.1,30468
[object GeneralizedGeometry],42125,UNION,21.6,75.7,Union,[object GeneralizedGeometry],8357,3632,43.5,2722,32.6,1938,23.2,65,0.8,40799
[object GeneralizedGeometry],34905,UPSON,22.1,71.4,Upson,[object GeneralizedGeometry],10159,4973,49,3447,33.9,1622,16,117,1.2,35774
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker,[object GeneralizedGeometry],25860,11085,42.9,9183,35.5,5092,19.7,500,1.9,41632
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton,[object GeneralizedGeometry],29667,9132,30.8,10616,35.8,9073,30.6,846,2.9,54453
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware,[object GeneralizedGeometry],13901,6962,50.1,4333,31.2,2447,17.6,159,1.1,34909
