weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"Death Rate, 2011-2013","Years of life lost before age 75, per 100K pop, 2011-2013","Years of potential life lost (YPLL) before age 75, 2011-2013","% deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","# deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","% of deaths due to major respiratory disease, 2011-2013","# of deaths due to major respiratory disease, 2011-2013","% deaths due to infectious, parasitic diseases, 2011-2013"
[object GeneralizedGeometry],67295,COLUMBIA,16.8,76.4,Columbia,[object GeneralizedGeometry],13073,Columbia,612.4,5468,20692,7.9,192,11.1,269,22
[object GeneralizedGeometry],35983,COOK,26.5,70.8,Cook,[object GeneralizedGeometry],13075,Cook,"1,009.50",10980,5289,5.8,30,15.5,80,25.4
[object GeneralizedGeometry],60675,COWETA,17,75.7,Coweta,[object GeneralizedGeometry],13077,Coweta,679.4,6071,22901,6.9,184,10.6,283,18
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford,[object GeneralizedGeometry],13079,Crawford,"1,019.40",10543,3767,8.1,31,8.6,33,37.2
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp,[object GeneralizedGeometry],13081,Crisp,"1,079.90",10803,7134,6,46,7.6,58,42.5
[object GeneralizedGeometry],41677,DADE,15.5,72.2,Dade,[object GeneralizedGeometry],13083,Dade,"1,022.90",8719,4047,6.7,34,7.3,37,10.1
[object GeneralizedGeometry],53289,DAWSON,16.7,76.1,Dawson,[object GeneralizedGeometry],13085,Dawson,759.2,6996,4490,10.9,56,12.1,62,20.7
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur,[object GeneralizedGeometry],13087,Decatur,"1,094.90",10771,8319,6.9,62,8.6,78,33.9
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb,[object GeneralizedGeometry],13089,DeKalb,598.5,6813,138783,7.6,960,6.9,876,25.8
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge,[object GeneralizedGeometry],13091,Dodge,"1,081.60",10128,6127,6.2,43,13.3,93,23.3
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly,[object GeneralizedGeometry],13093,Dooly,851.7,7973,3253,7.1,26,9.8,36,32.4
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty,[object GeneralizedGeometry],13095,Dougherty,946.7,10736,28589,5.3,141,7.9,211,32.9
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas,[object GeneralizedGeometry],13097,Douglas,629.9,6934,27067,7.4,188,9.7,247,24
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early,[object GeneralizedGeometry],13099,Early,"1,334.80",14409,4247,5.2,22,6.3,27,28.2
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols,[object GeneralizedGeometry],13101,Echols,747.5,8672,1004,"",4,15.4,14,""
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham,[object GeneralizedGeometry],13103,Effingham,693.2,7703,11924,8.8,98,11.1,123,18.7
[object GeneralizedGeometry],35053,ELBERT,25,73.3,Elbert,[object GeneralizedGeometry],13105,Elbert,"1,274.30",11893,6475,6.8,51,8.6,65,47.3
[object GeneralizedGeometry],31675,EMANUEL,24.4,70.3,Emanuel,[object GeneralizedGeometry],13107,Emanuel,"1,167.80",11686,7499,8,64,9.9,79,26.3
[object GeneralizedGeometry],36602,EVANS,23.8,71.3,Evans,[object GeneralizedGeometry],13109,Evans,"1,021.90",8716,2666,5.4,18,7.8,26,36.8
[object GeneralizedGeometry],35446,FANNIN,24.5,75.4,Fannin,[object GeneralizedGeometry],13111,Fannin,"1,292.30",9412,6032,5.6,51,12.5,115,29.6
