weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,# Primary Care Physicians,Primary Care Physicians Rate,# Dentists,Dentist Rate,% Female Medicare enrollees ages 67-69 that receive mammography screenings,% Diabetic,Average healthcare costs per person
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur,[object GeneralizedGeometry],13087,Decatur,12,44,9,33,58,15,8300
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb,[object GeneralizedGeometry],13089,DeKalb,758,106,406,56,61,12,8526
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge,[object GeneralizedGeometry],13091,Dodge,10,47,9,43,53,13,11108
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly,[object GeneralizedGeometry],13093,Dooly,"","",4,28,68,17,9338
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty,[object GeneralizedGeometry],13095,Dougherty,86,93,55,60,64,16,8481
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas,[object GeneralizedGeometry],13097,Douglas,59,43,61,44,58,12,9950
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early,[object GeneralizedGeometry],13099,Early,5,47,4,38,54,16,11368
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols,[object GeneralizedGeometry],13101,Echols,"","","","","",12,10818
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham,[object GeneralizedGeometry],13103,Effingham,14,26,6,11,67,10,9836
[object GeneralizedGeometry],35053,ELBERT,25,73.3,Elbert,[object GeneralizedGeometry],13105,Elbert,6,31,8,41,56,14,8526
[object GeneralizedGeometry],31675,EMANUEL,24.4,70.3,Emanuel,[object GeneralizedGeometry],13107,Emanuel,10,44,3,13,55,14,10577
[object GeneralizedGeometry],36602,EVANS,23.8,71.3,Evans,[object GeneralizedGeometry],13109,Evans,4,37,3,28,53,14,9082
[object GeneralizedGeometry],35446,FANNIN,24.5,75.4,Fannin,[object GeneralizedGeometry],13111,Fannin,17,72,7,29,64,14,9313
[object GeneralizedGeometry],81242,FAYETTE,16,79,Fayette,[object GeneralizedGeometry],13113,Fayette,119,110,101,92,67,11,8359
[object GeneralizedGeometry],41442,FLOYD,20.3,73.4,Floyd,[object GeneralizedGeometry],13115,Floyd,119,124,42,44,62,12,9945
[object GeneralizedGeometry],87585,FORSYTH,14.5,79.2,Forsyth,[object GeneralizedGeometry],13117,Forsyth,83,42,80,39,65,9,9869
[object GeneralizedGeometry],32179,FRANKLIN,23,71.5,Franklin,[object GeneralizedGeometry],13119,Franklin,5,23,5,22,56,12,9120
[object GeneralizedGeometry],57664,FULTON,17.5,74.8,Fulton,[object GeneralizedGeometry],13121,Fulton,1018,103,669,67,64,11,8593
[object GeneralizedGeometry],37257,GILMER,20.7,74.5,Gilmer,[object GeneralizedGeometry],13123,Gilmer,15,52,7,24,61,13,9583
[object GeneralizedGeometry],32346,GLASCOCK,25.4,71.6,Glascock,[object GeneralizedGeometry],13125,Glascock,1,32,0,0,47,11,11971
[object GeneralizedGeometry],49986,GLYNN,22,72.7,Glynn,[object GeneralizedGeometry],13127,Glynn,45,55,40,49,67,13,8536
[object GeneralizedGeometry],40661,GORDON,20.3,72.7,Gordon,[object GeneralizedGeometry],13129,Gordon,27,48,13,23,53,11,10281
[object GeneralizedGeometry],32206,GRADY,18.2,73.3,Grady,[object GeneralizedGeometry],13131,Grady,11,44,6,24,71,15,8779
[object GeneralizedGeometry],40728,GREENE,23,74.8,Greene,[object GeneralizedGeometry],13133,Greene,10,61,13,79,70,17,8898
[object GeneralizedGeometry],61944,GWINNETT,14.6,78.2,Gwinnett,[object GeneralizedGeometry],13135,Gwinnett,505,59,495,56,60,10,9293
[object GeneralizedGeometry],41894,HABERSHAM,18,75.3,Habersham,[object GeneralizedGeometry],13137,Habersham,25,58,20,46,66,11,9273
[object GeneralizedGeometry],52174,HALL,14,76.4,Hall,[object GeneralizedGeometry],13139,Hall,116,62,87,46,69,11,9304
[object GeneralizedGeometry],22716,HANCOCK,24.5,71.6,Hancock,[object GeneralizedGeometry],13141,Hancock,2,23,1,12,62,20,8076
[object GeneralizedGeometry],39227,HARALSON,17.4,70.8,Haralson,[object GeneralizedGeometry],13143,Haralson,14,49,6,21,56,11,9876
[object GeneralizedGeometry],68816,HARRIS,17.3,75.2,Harris,[object GeneralizedGeometry],13145,Harris,20,61,5,15,69,11,8667
[object GeneralizedGeometry],35647,HART,21.1,73.7,Hart,[object GeneralizedGeometry],13147,Hart,12,47,7,28,52,14,8950
[object GeneralizedGeometry],39947,HEARD,18.9,72.7,Heard,[object GeneralizedGeometry],13149,Heard,2,17,"","",51,12,10289
[object GeneralizedGeometry],62377,HENRY,15.5,74.9,Henry,[object GeneralizedGeometry],13151,Henry,104,49,67,31,62,11,8970
[object GeneralizedGeometry],56265,HOUSTON,21,74.5,Houston,[object GeneralizedGeometry],13153,Houston,76,51,73,49,64,11,10479
[object GeneralizedGeometry],38770,IRWIN,25.8,70.8,Irwin,[object GeneralizedGeometry],13155,Irwin,4,42,2,22,73,14,9900
[object GeneralizedGeometry],53393,JACKSON,19.4,73.9,Jackson,[object GeneralizedGeometry],13157,Jackson,35,57,30,48,60,10,9761
[object GeneralizedGeometry],43768,JASPER,19,72.9,Jasper,[object GeneralizedGeometry],13159,Jasper,6,44,2,15,55,14,9043
[object GeneralizedGeometry],35203,JEFF DAVIS,28.5,69.8,Jeff Davis,[object GeneralizedGeometry],13161,Jeff Davis,4,27,1,7,55,12,11009
[object GeneralizedGeometry],27612,JEFFERSON,24.4,69.7,Jefferson,[object GeneralizedGeometry],13163,Jefferson,6,37,4,25,59,18,8656
[object GeneralizedGeometry],27039,JENKINS,23.5,70.6,Jenkins,[object GeneralizedGeometry],13165,Jenkins,2,22,"","",47,15,9173
[object GeneralizedGeometry],34521,JOHNSON,25.9,72.9,Johnson,[object GeneralizedGeometry],13167,Johnson,4,41,"","",64,13,9773
[object GeneralizedGeometry],53085,JONES,18,74.7,Jones,[object GeneralizedGeometry],13169,Jones,6,21,3,10,68,11,9944
[object GeneralizedGeometry],39224,LAMAR,18.5,72.6,Lamar,[object GeneralizedGeometry],13171,Lamar,8,45,2,11,55,12,9458
[object GeneralizedGeometry],41867,LANIER,24.3,70.6,Lanier,[object GeneralizedGeometry],13173,Lanier,1,10,1,10,61,12,11785
[object GeneralizedGeometry],35912,LAURENS,25.9,72.3,Laurens,[object GeneralizedGeometry],13175,Laurens,49,102,20,42,63,15,9461
[object GeneralizedGeometry],58400,LEE,17.4,75.8,Lee,[object GeneralizedGeometry],13177,Lee,16,55,6,21,65,10,8620
[object GeneralizedGeometry],44295,LIBERTY,17.4,73.8,Liberty,[object GeneralizedGeometry],13179,Liberty,22,34,63,97,55,10,9475
[object GeneralizedGeometry],34347,LINCOLN,26.8,71.2,Lincoln,[object GeneralizedGeometry],13181,Lincoln,2,26,1,13,59,15,9648
[object GeneralizedGeometry],40044,LONG,21.8,74.1,Long,[object GeneralizedGeometry],13183,Long,"","","","",52,10,11733
[object GeneralizedGeometry],38348,LOWNDES,19.6,72.1,Lowndes,[object GeneralizedGeometry],13185,Lowndes,59,52,70,62,67,11,9385
[object GeneralizedGeometry],44595,LUMPKIN,19.2,75.3,Lumpkin,[object GeneralizedGeometry],13187,Lumpkin,11,36,8,26,62,10,9722
[object GeneralizedGeometry],38855,MCDUFFIE,21.9,70.3,McDuffie,[object GeneralizedGeometry],13189,McDuffie,13,60,7,33,54,14,9306
[object GeneralizedGeometry],39506,MCINTOSH,21.1,74.1,McIntosh,[object GeneralizedGeometry],13191,McIntosh,1,7,2,14,75,15,8178
[object GeneralizedGeometry],30906,MACON,23.4,72.6,Macon,[object GeneralizedGeometry],13193,Macon,1,7,2,15,58,16,8862
[object GeneralizedGeometry],41404,MADISON,20.5,72.4,Madison,[object GeneralizedGeometry],13195,Madison,4,14,1,4,61,12,10057
[object GeneralizedGeometry],33875,MARION,18.7,72.8,Marion,[object GeneralizedGeometry],13197,Marion,1,12,1,11,42,15,7034
[object GeneralizedGeometry],37660,MERIWETHER,25,70,Meriwether,[object GeneralizedGeometry],13199,Meriwether,7,33,4,19,57,15,8731
[object GeneralizedGeometry],32432,MILLER,32.3,72.9,Miller,[object GeneralizedGeometry],13201,Miller,3,51,3,50,58,14,11885
[object GeneralizedGeometry],32838,MITCHELL,18.1,71.1,Mitchell,[object GeneralizedGeometry],13205,Mitchell,13,56,4,18,62,16,9850
[object GeneralizedGeometry],47323,MONROE,19.3,74,Monroe,[object GeneralizedGeometry],13207,Monroe,13,48,4,15,67,13,10500
[object GeneralizedGeometry],33569,MONTGOMERY,21.7,71.6,Montgomery,[object GeneralizedGeometry],13209,Montgomery,"","","","",58,13,9607
[object GeneralizedGeometry],44908,MORGAN,20.1,74.8,Morgan,[object GeneralizedGeometry],13211,Morgan,10,56,8,45,62,13,9937
[object GeneralizedGeometry],36928,MURRAY,21.9,72.2,Murray,[object GeneralizedGeometry],13213,Murray,6,15,4,10,53,11,9621
[object GeneralizedGeometry],41443,MUSCOGEE,19,71.6,Muscogee,[object GeneralizedGeometry],13215,Muscogee,187,92,105,52,57,13,9227
[object GeneralizedGeometry],51336,NEWTON,20.2,73.7,Newton,[object GeneralizedGeometry],13217,Newton,35,34,17,16,62,12,9727
[object GeneralizedGeometry],77571,OCONEE,17,77.3,Oconee,[object GeneralizedGeometry],13219,Oconee,42,123,14,40,68,9,8488
