weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,Total Population,Under 5 years,% Under 5 Years,5 to 14 years,% 5 to 14 years,15 to 19 years,% 15 to 19 years,20 to 29 years,% 20 to 29 years,30 to 44 years
[object GeneralizedGeometry],60675,COWETA,17,75.7,Coweta,[object GeneralizedGeometry],127317,9283,7.3,19634,15.4,8948,7,14463,11.4,28342
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford,[object GeneralizedGeometry],12630,728,5.8,1602,12.7,870,6.9,1388,11,2413
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp,[object GeneralizedGeometry],23439,1696,7.2,3355,14.3,1709,7.3,2800,11.9,4153
[object GeneralizedGeometry],41677,DADE,15.5,72.2,Dade,[object GeneralizedGeometry],16633,912,5.5,1973,11.9,1453,8.7,2243,13.5,2968
[object GeneralizedGeometry],53289,DAWSON,16.7,76.1,Dawson,[object GeneralizedGeometry],22330,1275,5.7,2954,13.2,1335,6,2651,11.9,4320
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur,[object GeneralizedGeometry],27842,1867,6.7,3988,14.3,2081,7.5,3435,12.3,5198
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb,[object GeneralizedGeometry],691893,50407,7.3,88087,12.7,44643,6.5,112635,16.3,164858
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge,[object GeneralizedGeometry],21796,1355,6.2,2647,12.1,1862,8.5,2750,12.6,4375
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly,[object GeneralizedGeometry],14918,857,5.7,1766,11.8,897,6,1914,12.8,3107
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty,[object GeneralizedGeometry],94565,7150,7.6,13291,14.1,7852,8.3,15050,15.9,16664
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas,[object GeneralizedGeometry],132403,9732,7.4,21221,16,10250,7.7,15691,11.9,31278
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early,[object GeneralizedGeometry],11008,717,6.5,1633,14.8,871,7.9,1140,10.4,1932
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols,[object GeneralizedGeometry],4034,358,8.9,611,15.1,323,8,628,15.6,851
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham,[object GeneralizedGeometry],52250,3668,7,8559,16.4,4195,8,6081,11.6,11433
[object GeneralizedGeometry],35053,ELBERT,25,73.3,Elbert,[object GeneralizedGeometry],20166,1311,6.5,2556,12.7,1407,7,2265,11.2,3607
[object GeneralizedGeometry],31675,EMANUEL,24.4,70.3,Emanuel,[object GeneralizedGeometry],22598,1656,7.3,3134,13.9,1576,7,3004,13.3,4132
[object GeneralizedGeometry],36602,EVANS,23.8,71.3,Evans,[object GeneralizedGeometry],11000,847,7.7,1557,14.2,730,6.6,1544,14,2118
[object GeneralizedGeometry],35446,FANNIN,24.5,75.4,Fannin,[object GeneralizedGeometry],23682,1131,4.8,2605,11,1246,5.3,2051,8.7,3669
[object GeneralizedGeometry],81242,FAYETTE,16,79,Fayette,[object GeneralizedGeometry],106567,4913,4.6,16826,15.8,9030,8.5,8498,8,18590
[object GeneralizedGeometry],41442,FLOYD,20.3,73.4,Floyd,[object GeneralizedGeometry],96317,6521,6.8,13026,13.5,7336,7.6,12476,13,18284
[object GeneralizedGeometry],87585,FORSYTH,14.5,79.2,Forsyth,[object GeneralizedGeometry],175511,13593,7.7,32105,18.3,10984,6.3,14638,8.3,44007
[object GeneralizedGeometry],32179,FRANKLIN,23,71.5,Franklin,[object GeneralizedGeometry],22084,1291,5.8,2795,12.7,1565,7.1,2646,12,3947
[object GeneralizedGeometry],57664,FULTON,17.5,74.8,Fulton,[object GeneralizedGeometry],920581,62581,6.8,121387,13.2,63175,6.9,150594,16.4,216062
[object GeneralizedGeometry],37257,GILMER,20.7,74.5,Gilmer,[object GeneralizedGeometry],28292,1670,5.9,3464,12.2,1739,6.1,2810,9.9,5050
[object GeneralizedGeometry],32346,GLASCOCK,25.4,71.6,Glascock,[object GeneralizedGeometry],3082,199,6.5,468,15.2,213,6.9,314,10.2,590
[object GeneralizedGeometry],49986,GLYNN,22,72.7,Glynn,[object GeneralizedGeometry],79626,5352,6.7,10630,13.3,5233,6.6,9676,12.2,14585
[object GeneralizedGeometry],40661,GORDON,20.3,72.7,Gordon,[object GeneralizedGeometry],55186,4110,7.4,8202,14.9,4096,7.4,6804,12.3,11617
[object GeneralizedGeometry],32206,GRADY,18.2,73.3,Grady,[object GeneralizedGeometry],25011,1890,7.6,3489,13.9,1659,6.6,3174,12.7,4651
[object GeneralizedGeometry],40728,GREENE,23,74.8,Greene,[object GeneralizedGeometry],15994,898,5.6,1862,11.6,845,5.3,1656,10.4,2467
[object GeneralizedGeometry],61944,GWINNETT,14.6,78.2,Gwinnett,[object GeneralizedGeometry],805321,62242,7.7,133028,16.5,59956,7.4,103084,12.8,193531
[object GeneralizedGeometry],41894,HABERSHAM,18,75.3,Habersham,[object GeneralizedGeometry],43041,2885,6.7,5790,13.5,2788,6.5,5359,12.5,8387
[object GeneralizedGeometry],52174,HALL,14,76.4,Hall,[object GeneralizedGeometry],179684,14123,7.9,28109,15.6,12916,7.2,23873,13.3,37667
[object GeneralizedGeometry],22716,HANCOCK,24.5,71.6,Hancock,[object GeneralizedGeometry],9429,433,4.6,899,9.5,618,6.6,1226,13,1820
[object GeneralizedGeometry],39227,HARALSON,17.4,70.8,Haralson,[object GeneralizedGeometry],28780,1848,6.4,4165,14.5,2014,7,3434,11.9,5651
[object GeneralizedGeometry],68816,HARRIS,17.3,75.2,Harris,[object GeneralizedGeometry],32024,1762,5.5,4345,13.6,2349,7.3,2808,8.8,6193
