weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,"Poverty: #, Population for whom poverty status is determined","Poverty: #, Population in poverty","Poverty: %, Population in poverty","Poverty: #, Population under 18 years for whom poverty status is determined","Poverty: #, Population under 18 years in poverty","Poverty: %, Population under 18 years in poverty","Poverty: #, Population 18 to 64 years for whom poverty status is determined","Poverty: #, Population 18 to 64 years in poverty","Poverty: %, Population 18 to 64 years in poverty","Poverty: #, Population 65 years and over for whom poverty status is determined"
[object GeneralizedGeometry],50829,PICKENS,20.1,74.9,Pickens,[object GeneralizedGeometry],29469,3418,11.6,6003,1127,18.8,17764,1951,11,5702
[object GeneralizedGeometry],39326,PIERCE,24,70.4,Pierce,[object GeneralizedGeometry],18768,4455,23.7,4816,1531,31.8,11187,2575,23,2765
[object GeneralizedGeometry],56658,PIKE,19.7,72.6,Pike,[object GeneralizedGeometry],17490,2132,12.2,4472,712,15.9,10543,1136,10.8,2475
[object GeneralizedGeometry],38861,POLK,20.9,71.2,Polk,[object GeneralizedGeometry],40777,8767,21.5,10689,3377,31.6,24326,4753,19.5,5762
[object GeneralizedGeometry],34659,PULASKI,23.5,72.2,Pulaski,[object GeneralizedGeometry],10055,1929,19.2,2156,745,34.6,6151,1048,17,1748
[object GeneralizedGeometry],40115,PUTNAM,22.3,72.9,Putnam,[object GeneralizedGeometry],20989,3446,16.4,3975,901,22.7,12686,2237,17.6,4328
[object GeneralizedGeometry],32750,QUITMAN,12.3,70,Quitman,[object GeneralizedGeometry],2326,558,24,470,208,44.3,1246,242,19.4,610
[object GeneralizedGeometry],32995,RABUN,21.2,74.9,Rabun,[object GeneralizedGeometry],15991,3458,21.6,2870,930,32.4,9206,2146,23.3,3915
[object GeneralizedGeometry],32688,RANDOLPH,22,71.9,Randolph,[object GeneralizedGeometry],7108,2145,30.2,1720,898,52.2,4177,1070,25.6,1211
[object GeneralizedGeometry],38952,RICHMOND,20.9,70.3,Richmond,[object GeneralizedGeometry],192680,48498,25.2,47632,19008,39.9,121406,27047,22.3,23642
[object GeneralizedGeometry],54704,ROCKDALE,20.6,75.6,Rockdale,[object GeneralizedGeometry],85887,14155,16.5,22259,5395,24.2,53331,7833,14.7,10297
[object GeneralizedGeometry],40612,SCHLEY,17.9,72.5,Schley,[object GeneralizedGeometry],5074,1187,23.4,1441,480,33.3,2887,626,21.7,746
[object GeneralizedGeometry],34634,SCREVEN,22,70.6,Screven,[object GeneralizedGeometry],13807,3482,25.2,3185,1142,35.9,8394,2009,23.9,2228
[object GeneralizedGeometry],28909,SEMINOLE,36.4,72.9,Seminole,[object GeneralizedGeometry],8658,1595,18.4,1932,560,29,4962,875,17.6,1764
[object GeneralizedGeometry],40655,SPALDING,21.4,71.2,Spalding,[object GeneralizedGeometry],62595,14238,22.7,15507,5116,33,37554,7970,21.2,9534
[object GeneralizedGeometry],37535,STEPHENS,23.9,72.7,Stephens,[object GeneralizedGeometry],24905,4707,18.9,5710,1447,25.3,14648,2927,20,4547
[object GeneralizedGeometry],28222,STEWART,27.5,70,Stewart,[object GeneralizedGeometry],4282,1645,38.4,852,525,61.6,2616,873,33.4,814
[object GeneralizedGeometry],33528,SUMTER,21.6,72.5,Sumter,[object GeneralizedGeometry],29355,9741,33.2,7564,3988,52.7,17478,4994,28.6,4313
[object GeneralizedGeometry],26750,TALBOT,22.4,70,Talbot,[object GeneralizedGeometry],6462,1291,20,1211,251,20.7,4038,832,20.6,1213
[object GeneralizedGeometry],24390,TALIAFERRO,27,71.2,Taliaferro,[object GeneralizedGeometry],1704,511,30,228,120,52.6,1065,324,30.4,411
[object GeneralizedGeometry],36520,TATTNALL,21.4,71.6,Tattnall,[object GeneralizedGeometry],19329,5646,29.2,5232,2181,41.7,11258,3075,27.3,2839
[object GeneralizedGeometry],28402,TAYLOR,22.8,72.9,Taylor,[object GeneralizedGeometry],8193,2351,28.7,1822,771,42.3,4924,1279,26,1447
[object GeneralizedGeometry],24469,TELFAIR,28.6,72.1,Telfair,[object GeneralizedGeometry],12514,3565,28.5,2913,1414,48.5,7337,1760,24,2264
[object GeneralizedGeometry],32855,TERRELL,22.2,71.9,Terrell,[object GeneralizedGeometry],8881,3216,36.2,2257,1344,59.5,5145,1660,32.3,1479
[object GeneralizedGeometry],31471,THOMAS,17.1,71.8,Thomas,[object GeneralizedGeometry],43849,10335,23.6,10649,3031,28.5,26202,6549,25,6998
