FIPS,County,"Area, Square Miles",2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population,"Income: #, Household income less than $35,000","Income: %, Household income less than $35,000","Income: #, Household income $35,000 to $74,999","Income: %, Household income $35,000 to $74,999","Income: #, Household income $75,000 to $200,000","Income: %, Household income $75,000 to $200,000","Income: #, Household income $200,000 or more","Income: %, Household income $200,000 or more",Income: Median household income,"Total Index Crimes Reported, 2012","Violent Crimes Reported, Total, 2012","Violent Crimes Reported, % of Total, 2012","Violent Crimes Reported, Rate per 100,000,  2012","Violent Crimes Reported, Murder, 2012","Violent Crimes Reported, Rape, 2012","Violent Crimes Reported, Robbery, 2012","Violent Crimes Reported, Aggravated Assault, 2012","Educational Attainment: #, Population 25 years and over","Educational Attainment: #, Less than HS or GED","Educational Attainment: %, Less than HS or GED","Educational Attainment: #, BA or Higher","Educational Attainment: %, BA or Higher","Households receiving food stamps, June 2010","Total food stamp recipients, June 2010","Food stamp recipients, age 0-4 , June 2010","Food stamp recipients, age 5-17 , June 2010","Food stamp recipients, age 18-64 , June 2010","Food stamp recipients, age 65+ , June 2010","Households receiving food stamps, June 2012",% of adults who smoke,% of adults who are obese,% of adults who are physically inactive ,% Alcohol Impaired Deaths ,Motor Vehicle Mortality Rate,# Primary Care Physicians,Primary Care Physicians Rate,# Dentists,Dentist Rate,% Female Medicare enrollees ages 67-69 that receive mammography screenings,% Diabetic,Average healthcare costs per person,"Sexually Transmitted Diseases (STD) Cases, 2011-2013","STD Rate, per 100,000, 2011-2013",Avg # of Physically Unhealthy Days in past 30 days (age-adjusted),Avg # of Mentally Unhealthy Days  in past 30 days (age-adjusted),"Total births, 2010-2012","Birth rate, per 1,000 women age 10-55, 2010-2012","BIRTH RATE, 2010-2012","Teen births, age 15-19, 2010-2012","Birth rate, per 1,000 women age 15-19, 2010-2012","Low birth weight (<2,500 grams) births, 2010-2012","% all births that are low birth weight, 2010-2012","Premature births (<37 weeks), 2010-2012","% of all discharges for ""treatable"" illnesses, 2010-2012","Change in Birth Rate, 2010-2014","% Low Birth Weight Births, 2014","Poverty: #, Population for whom poverty status is determined","Poverty: #, Population in poverty","Poverty: %, Population in poverty","Poverty: #, Population under 18 years for whom poverty status is determined","Poverty: #, Population under 18 years in poverty","Poverty: %, Population under 18 years in poverty","Poverty: #, Population 18 to 64 years for whom poverty status is determined","Poverty: #, Population 18 to 64 years in poverty","Poverty: %, Population 18 to 64 years in poverty","Poverty: #, Population 65 years and over for whom poverty status is determined","Single Parent Families, 2010","Single Parent Families (as % of total Households), 2010","Own Children in Families, 2008-12","Children with no Parent in the Labor Force, 2008-12","% Children with no Parent in the Labor Force, 2008-12","% At Risk Youth: Not in School or Labor Force, Ages 16-19, 2010-2014 (avg)","% Children with No Parent in the Labor Force, 2010-2014 (avg)","Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)"
13063,Clayton,144,259424,36610,14.1,169020,65.2,12839,4.9,35447,13.7,5508,38459,43.3,32281,36.4,17341,19.5,712,0.8,40938,14486,1493,10.3,561.5,28,68,680,717,163245,28544,17.5,29937,18.3,26046,63292,11966,21861,27874,1590,35785,20,40,26,17,10,85,32,72,27,54,14,9245,8556,1081,4.3,4.2,12838,46.1,46.1,1441,49.8,1429,11.1,1651,16.2,-2.4,10.4,262114,65787,25.1,74209,28034,37.8,167298,35568,21.3,20607,16489,18.19,70290,5766,8.2,8.1,9.6,69.7,75.9,70.8,77.1,71.5,77.3,71.9,76.9,72.5,77.8
13065,Clinch,825,6798,4536,66.7,1876,27.6,13,0.2,236,3.5,137,1466,56.8,684,26.5,407,15.8,24,0.9,24015,284,36,12.7,535.9,2,0,8,26,4483,1203,26.8,603,13.5,690,1708,276,516,827,89,810,21,30,30,18,29,1,15,1,15,52,14,12979,242,1193,4.7,4.4,304,49.8,49.8,49,70.9,40,13.2,40,26.6,4.2,11.5,6678,2339,35,1832,817,44.6,3917,1341,34.2,929,341,13.26,1576,294,18.7,2.7,16.9,68.2,75.8,68.4,76.4,70,76.8,71.2,76.4,71.6,76.9
13067,Cobb,345,688078,387438,56.3,168053,24.4,30432,4.4,84330,12.3,17825,68970,25.7,81809,30.5,97260,36.2,20577,7.7,65873,18678,1896,10.2,268,15,119,647,1115,473749,42574,9,209042,44.1,25790,61035,11381,21536,26283,1835,35599,14,22,18,25,9,500,70,466,64,64,9,9295,10329,487,3.4,3.4,28320,39.7,39.7,1548,22.1,2309,8.2,2540,15.1,-0.6,8.4,708182,87880,12.4,176934,30873,17.4,460070,51887,11.3,71178,24959,9.6,169518,7161,4.2,4.8,4.5,71.4,77.7,73.2,78.8,74.3,79,75.2,79.3,76.5,80.4
13069,Coffee,603,42356,25907,61.2,11227,26.5,302,0.7,4352,10.3,568,7331,51.2,4368,30.5,2306,16.1,316,2.2,33965,2175,182,8.4,421.6,4,22,55,101,27341,6176,22.6,3734,13.7,4117,10389,1743,3317,4933,396,4678,19,32,34,15,20,24,56,13,30,60,13,11679,704,545,4.5,4.2,1740,44.8,44.8,307,66,177,10.2,254,25.7,4.3,9.6,39176,9975,25.5,10713,3813,35.6,23349,5083,21.8,5114,1761,11.89,10219,1069,10.5,10.1,15.9,66.8,75.5,67.3,75.7,68.3,75.6,69.8,75.9,70.3,77
13071,Colquitt,557,45498,26759,58.8,10143,22.3,289,0.6,7763,17.1,544,8437,53.6,4522,28.7,2564,16.3,214,1.4,32409,1721,157,9.1,340.3,4,10,41,102,29476,8027,27.2,3848,13.1,4861,11437,2217,3447,5291,482,5970,20,37,34,26,22,20,43,11,24,63,14,10459,550,398,4.7,4.4,2223,54.3,54.3,318,71.8,250,11.2,327,20.3,-6.3,7.1,45118,12086,26.8,12220,4795,39.2,26846,6665,24.8,6052,2031,12.45,11583,1767,15.3,15.6,13.5,67.2,76.5,67.2,76.5,68.6,76.2,69.7,76.6,71,76.8
13073,Columbia,308,124053,91517,73.8,18084,14.6,4726,3.8,6175,5,3551,9349,20.6,14953,32.9,18594,40.9,2592,5.7,71021,2011,66,3.3,50.1,1,15,17,33,88824,7257,8.2,31389,35.3,3184,8030,1325,2681,3778,246,4413,14,29,23,21,11,153,113,77,55,57,9,8715,1126,285,3.2,3.4,4848,38.2,38.2,298,21.6,362,7.5,445,16.8,-1.4,7,135410,12517,9.2,35445,4074,11.5,84855,7482,8.8,15110,4262,9.49,32784,1134,3.5,6.9,5.2,69.8,77,71.3,78,72.9,78.6,75.1,79.3,75.7,80.1
13075,Cook,233,17212,11171,64.9,4684,27.2,113,0.7,1024,5.9,220,3046,49.5,1843,29.9,1165,18.9,103,1.7,35683,386,37,9.6,218.6,0,9,6,22,11159,2769,24.8,1434,12.9,1718,4193,710,1288,2024,171,2099,19,29,27,19,17,9,53,5,29,61,13,10385,354,693,4.3,4.2,685,44,44,97,58.8,78,11.4,100,26.5,-7.2,11.4,16884,4244,25.1,4490,1367,30.4,10054,2482,24.7,2340,750,11.83,4249,420,9.9,16.8,11,66.5,76.2,66.7,75.7,68.6,75.4,69.2,75.3,70.1,75.7
13077,Coweta,446,127317,92604,72.7,21744,17.1,1895,1.5,8493,6.7,2581,13221,27.1,15768,32.3,18130,37.2,1658,3.4,62461,2897,219,7.6,167.3,2,14,54,149,87515,10143,11.6,24123,27.6,6741,16380,2790,5180,7853,557,7996,15,27,25,26,9,60,45,51,38,61,10,9288,1180,300,3.4,3.5,4874,38.5,38.5,404,31.2,389,8,505,17,-0.6,8.3,132648,17489,13.2,34587,6658,19.3,82290,9839,12,15771,4444,9.73,32661,3119,9.5,4.4,9.3,68.7,75.8,69.3,76.7,71.5,77.6,72.8,78.1,73.9,78.9
13079,Crawford,327,12630,9282,73.5,2806,22.2,32,0.3,301,2.4,209,1950,43,1546,34.1,1013,22.3,29,0.6,41825,490,47,9.6,373,1,1,6,39,8765,1901,21.7,1121,12.8,1100,2396,338,623,1319,116,1346,17,28,33,14,18,1,8,,,55,13,8227,168,446,3.9,3.9,430,37.8,37.8,64,57.1,38,8.8,47,20.9,1.2,5.6,12332,2122,17.2,2668,603,22.6,7739,1244,16.1,1925,400,8.3,2667,401,15,10.1,15.8,66.5,75.1,67.8,75.7,68.7,76.1,70,76.5,70.4,76.8
13081,Crisp,281,23439,12216,52.1,10033,42.8,183,0.8,748,3.2,259,4599,53.1,2339,27,1539,17.8,182,2.1,31615,1473,111,7.5,470.2,3,9,44,55,15358,3350,21.8,2243,14.6,2888,6645,1139,2008,3217,281,3284,20,30,31,8,13,18,77,10,44,64,15,9163,601,851,4.7,4.4,940,43.3,43.3,180,72.7,130,13.8,172,28.6,-3.9,13,22755,7468,32.8,5719,2682,46.9,13701,4289,31.3,3335,1318,14.52,5339,936,17.5,9.9,9,66.2,75.2,66.1,75.9,66.1,74.9,68.1,75.4,69.3,76.4
13083,Dade,174,16633,15796,95,142,0.9,114,0.7,292,1.8,289,2336,38,2221,36.1,1518,24.7,75,1.2,46434,291,38,13.1,230.4,0,1,1,36,11182,2207,19.7,1574,14.1,841,2008,263,540,1059,146,968,16,32,27,9,16,4,24,5,31,57,10,9679,50,101,3.6,3.7,478,31,31.8,59,28.8,53,11.1,49,15.5,5.3,6,15178,2300,15.2,3090,653,21.1,9444,1323,14,2644,443,7.04,3151,349,11.1,1,13.4,68.5,77.6,70,78.3,71.7,78.3,71.9,78.1,72.1,77
13085,Dawson,214,22330,20847,93.4,97,0.4,124,0.6,920,4.1,342,2342,28.5,2739,33.3,2648,32.2,484,5.9,56943,385,11,2.9,49.1,0,0,2,9,15974,2264,14.2,4401,27.6,1134,2752,361,805,1440,146,1355,15,29,23,11,19,15,66,8,35,62,10,8955,110,163,3.5,3.7,714,35.9,35.9,57,30.2,57,8,79,16.7,-1.4,7.1,22289,3156,14.2,4731,768,16.2,13644,1955,14.3,3914,592,7.02,4761,645,13.5,7.9,13.6,68.1,76.3,69.7,77.9,72.4,78.7,75.4,79,74.5,79.5
13087,Decatur,624,27842,14615,52.5,11366,40.8,138,0.5,1404,5,319,5743,54.1,3060,28.8,1559,14.7,252,2.4,31284,1146,127,11.1,461.7,3,2,11,111,17999,3642,20.2,2848,15.8,3328,7811,1306,2485,3696,324,3791,20,31,28,30,29,12,44,9,33,58,15,8300,851,1031,4.6,4.4,1131,44.8,44.8,200,70.9,125,11.1,131,24.9,-1,9.8,26130,7418,28.4,6779,2699,39.8,15383,4065,26.4,3968,1361,13.1,6297,901,14.3,5.9,8.2,67,75.1,67.3,75.1,67.5,75.8,69.9,76.6,70.2,77
13089,DeKalb,271,691893,203395,29.4,370963,53.6,35173,5.1,67824,9.8,14538,90762,33.9,86436,32.3,74016,27.7,16182,6.1,51376,39187,3752,9.6,530.6,75,153,1957,1567,479320,56017,11.7,196945,41.1,52534,118703,20360,38156,55954,4232,71398,14,27,21,23,10,758,106,406,56,61,12,8526,22254,1050,3.7,3.9,33009,45.7,45.7,2404,37.5,3325,10.1,4120,17.1,-4.3,11.1,701820,135469,19.3,167841,50565,30.1,464806,76925,16.5,69173,32753,12.05,158135,13770,8.7,10.4,21.2,71.2,77.9,70.4,78.1,71.2,78.8,73.6,79.1,74.5,80
13091,Dodge,503,21796,14273,65.5,6451,29.6,101,0.5,732,3.4,239,4095,50.8,2358,29.2,1572,19.5,39,0.5,34271,1013,68,6.7,318.8,0,5,4,59,14509,2761,19,2128,14.7,2123,4605,684,1292,2332,297,2575,18,31,31,31,17,10,47,9,43,53,13,11108,301,467,4.2,4.1,792,43.7,43.7,142,70.2,76,9.6,111,24.2,-3.5,10.1,19049,4279,22.5,4402,1463,33.2,11704,2453,21,2943,905,11.07,4262,335,7.9,15.6,8.7,68,75.5,68,75.3,68,76,68.9,76,70.7,76.5
13093,Dooly,398,14918,6461,43.3,7381,49.5,93,0.6,862,5.8,121,2909,58.1,1463,29.2,615,12.3,17,0.3,28696,210,42,20,293.3,0,1,5,36,9955,2503,25.1,913,9.2,1205,2725,431,824,1303,167,1404,22,34,32,16,22,,,4,28,68,17,9338,265,613,4.8,4.4,367,32.1,32.1,71,58,40,10.9,43,27.5,-7.9,16,12580,3673,29.2,2844,1130,39.7,7640,2246,29.4,2096,660,12.49,2828,509,18,20.4,18.6,67.2,74.8,67.2,74.8,67.4,73.7,68.6,75.2,70.2,76.5
13095,Dougherty,335,94565,27315,28.9,63198,66.8,719,0.8,2073,2.2,1260,18925,53.4,10064,28.4,5866,16.5,600,1.7,32084,6574,865,13.2,915.3,4,32,240,589,58304,11125,19.1,11002,18.9,12885,29472,5099,9336,14047,990,16098,21,37,29,8,11,86,93,55,60,64,16,8481,4427,1568,4.9,4.5,4368,46.6,46.6,726,64.4,580,13.3,607,21.3,-5.3,14.1,89802,27557,30.7,22873,10164,44.4,55176,15426,28,11753,6090,16.68,22038,3709,16.8,6.4,17.9,67.8,76,68.5,76.2,68.6,76.3,69.7,76.6,70.4,76.7
13097,Douglas,201,132403,64911,49,51387,38.8,1876,1.4,11125,8.4,3104,14826,31.5,17240,36.6,13982,29.7,1031,2.2,53881,4274,364,8.5,271.7,1,20,74,269,87156,10656,12.2,22650,26,8272,20676,3451,7153,9477,595,10782,17,34,26,28,15,59,43,61,44,58,12,9950,2548,631,3.9,3.9,5225,37.9,37.9,463,31.1,519,9.9,594,16.4,-2.6,8.9,134882,22118,16.4,36522,8039,22,85041,12762,15,13319,6179,13.25,35083,2163,6.2,5,7.9,70.6,76.1,71.1,77.3,71.8,77.2,72.8,77.5,73.4,77.3
13099,Early,517,11008,5250,47.7,5441,49.4,37,0.3,171,1.6,109,2107,52.9,1124,28.2,709,17.8,41,1,31680,344,54,15.7,509.7,1,3,4,46,7058,1476,20.9,1073,15.2,1544,3539,501,1113,1647,278,1748,20,31,31,33,35,5,47,4,38,54,16,11368,413,1294,4.4,4.2,470,48.1,48.1,69,60.8,64,13.6,73,30.1,-7.1,13.7,10413,2916,28,2628,991,37.7,5941,1620,27.3,1844,560,13.25,2643,607,23,9,13.7,66.4,75.1,66.9,76.1,67.3,76.3,69.1,76.3,69.6,76
13101,Echols,421,4034,2555,63.3,163,4,12,0.3,1183,29.3,121,748,52.8,392,27.7,253,17.9,23,1.6,32959,46,0,0,0,0,0,0,0,2565,730,28.5,213,8.3,318,836,232,282,298,24,364,19,29,28,67,,,,,,,12,10818,43,353,4.4,4.2,208,55.7,55.7,37,95.4,16,7.7,37,18.9,-5.5,,4040,1170,29,1077,433,40.2,2483,676,27.2,480,150,11.29,1088,339,31.2,13.8,32.1,68.2,75.8,68.4,76.4,70,76.8,71.2,76.4,71.6,76.9
13103,Effingham,483,52250,42311,81,6982,13.4,425,0.8,1501,2.9,1031,4760,25.8,6304,34.2,6953,37.7,415,2.3,63100,612,49,8,91.9,1,16,10,22,34974,4904,14,5922,16.9,2086,5611,909,1914,2600,188,2552,16,34,23,28,20,14,26,6,11,67,10,9836,629,392,3.4,3.5,2063,39.3,39.3,188,31.9,177,8.6,237,17.7,5.6,9,54143,5749,10.6,14552,2092,14.4,34016,3162,9.3,5575,1913,10.57,14156,683,4.8,15.9,5.8,69.5,76.7,71.1,77.3,72.1,77.9,72.8,77.9,73.4,78
13105,Elbert,374,20166,12956,64.2,5906,29.3,121,0.6,967,4.8,216,3841,49.6,2557,33,1216,15.7,130,1.7,35388,835,74,8.9,375.9,2,3,9,60,13539,3136,23.2,1438,10.6,1876,4040,646,1066,2098,230,2355,17,32,29,35,27,6,31,8,41,56,14,8526,348,588,4.1,4,725,41.1,41.1,108,58.1,69,9.5,77,25,-5.1,6.4,19250,3664,19,4306,1182,27.5,11502,2112,18.4,3442,842,10.44,4148,578,13.9,11.7,13.1,68.3,77.5,68.9,77.5,69.1,77.7,70.8,77.4,71.5,77.4
13107,Emanuel,691,22598,13733,60.8,7541,33.4,154,0.7,921,4.1,249,4266,52.3,2505,30.7,1267,15.5,118,1.4,32229,1237,139,11.2,607,2,6,14,117,14801,3477,23.5,1603,10.8,2260,5579,947,1733,2623,276,2879,21,34,30,21,25,10,44,3,13,55,14,10577,653,956,4.8,4.5,976,48.5,48.5,161,73.2,104,10.7,118,24.4,1.5,8.5,21924,6700,30.6,5640,2478,43.9,13038,3549,27.2,3246,1085,12.87,5043,350,6.9,10,11,66.4,76,66.8,76,66.8,76,67.9,76.1,69,75.3
13109,Evans,187,11000,6228,56.6,3165,28.8,60,0.5,1441,13.1,106,1818,45.7,1349,33.9,721,18.1,94,2.4,37865,173,13,7.5,121.6,0,0,3,10,6971,1790,25.7,1074,15.4,1136,2653,482,840,1177,154,1316,19,35,30,27,26,4,37,3,28,53,14,9082,248,761,4.4,4.2,500,50.8,50.8,84,86.6,51,10.2,66,23.8,-5.8,13.4,10328,2857,27.7,2784,1179,42.3,5950,1446,24.3,1594,453,11.23,2564,285,11.1,6.9,12.3,67.3,76.4,67.6,75.6,68.3,75.7,68.8,76.3,69.6,77.1
13111,Fannin,392,23682,22761,96.1,75,0.3,72,0.3,431,1.8,343,4410,46.4,3364,35.4,1686,17.7,50,0.5,37049,581,85,14.6,361.8,0,3,2,80,18036,3450,19.1,2913,16.2,1469,3695,493,1056,1962,184,1825,17,26,26,25,22,17,72,7,29,64,14,9313,78,110,4.1,4.1,592,32.4,32.4,79,46.6,45,7.6,61,24.5,4.5,10.1,23374,5404,23.1,4051,1428,35.3,13594,3264,24,5729,652,6.4,4111,395,9.6,3.8,6.9,70.5,78.2,71.3,78.5,72.3,78.6,73.3,79.1,73,78.7
13113,Fayette,199,106567,72202,67.8,21117,19.8,4106,3.9,6760,6.3,2382,7367,19.1,10760,27.9,16745,43.5,3663,9.5,79066,1625,85,5.2,79.1,3,7,21,54,72846,4420,6.1,31910,43.8,2477,6005,836,2136,2790,243,3156,13,29,21,20,9,119,110,101,92,67,11,8359,768,237,3,3.3,2391,23.3,23.3,139,10.3,191,8,243,16,3.3,7.2,107976,9129,8.5,26391,3188,12.1,65267,5158,7.9,16318,2908,7.62,26696,1037,3.9,5,5.4,72.8,78.8,74.8,79.7,75.8,79.8,76.1,80.9,77.3,81.2
13115,Floyd,519,96317,70959,73.7,13494,14,1225,1.3,8987,9.3,1652,14987,43,10914,31.3,8262,23.7,711,2,41549,4088,342,8.4,355.6,5,25,56,256,63344,13307,21,11778,18.6,7284,16630,2855,4922,8183,670,9344,17,29,30,13,16,119,124,42,44,62,12,9945,1219,423,4.1,4,3658,41,41,414,37.6,370,10.1,453,20.3,-6.3,9,92079,19605,21.3,22351,6563,29.4,55866,11464,20.5,13862,3718,10.35,21780,2116,9.7,4.8,10.1,69.1,76.7,69,76.9,70,76.8,71.2,76.8,71.8,77.2
13117,Forsyth,247,175511,140943,80.3,4287,2.4,10875,6.2,16550,9.4,2856,10651,17.1,15467,24.8,29407,47.2,6770,10.9,88816,2024,165,8.2,87.8,0,15,10,140,125848,10021,8,57413,45.6,3100,7658,1375,2461,3418,404,4074,13,26,19,25,10,83,42,80,39,65,9,9869,632,112,3.1,3.2,6687,37.5,37.5,260,15.2,482,7.2,601,14.5,-5.2,7.6,195371,13547,6.9,57076,4223,7.4,117689,7980,6.8,20606,4002,6.73,52008,1138,2.2,5.5,2,70,78.3,71.5,78.5,73.9,79.5,75.2,80.2,76.5,81.2
13119,Franklin,267,22084,18913,85.6,1821,8.2,121,0.5,866,3.9,363,4315,51.2,2764,32.8,1327,15.7,27,0.3,33816,575,36,6.3,164.4,0,4,6,26,15104,3838,25.4,1904,12.6,1874,4444,629,1188,2371,256,2388,17,27,35,16,27,5,23,5,22,56,12,9120,206,313,4.1,4,828,43.7,43.7,115,54.1,84,10.1,99,23,-4.8,10.6,21468,5122,23.9,4817,1465,30.4,12673,3131,24.7,3978,674,7.89,4792,560,11.7,15.1,16.4,68.7,77.2,68.7,77.9,69.3,77.6,71.1,78.1,71.6,78.1
13121,Fulton,534,920581,376014,40.8,400457,43.5,51304,5.6,72566,7.9,20240,122856,32.3,107091,28.2,110207,29,39803,10.5,57207,60405,8556,14.2,875,128,225,3528,4675,650445,58903,9.1,320667,49.3,75968,156122,25033,47136,78113,5840,95561,14,22,19,24,9,1018,103,669,67,64,11,8593,28866,991,3.5,3.5,38462,39.3,39.3,3193,32.7,4016,10.4,4698,17.5,-2.9,10.9,953329,167391,17.6,227175,57147,25.2,629713,99509,15.8,96441,40471,10.75,210933,14949,7.1,4.9,7.8,66.9,74.8,65.8,75.5,67.8,76.3,71,77.1,72.9,78.2
13123,Gilmer,431,28292,25078,88.6,98,0.3,65,0.2,2677,9.5,374,4825,43.9,3835,34.9,2106,19.2,219,2,40228,600,79,13.2,280.2,0,6,0,73,20596,4509,21.9,3436,16.7,1577,4045,617,1243,1959,226,2097,16,27,28,18,21,15,52,7,24,61,13,9583,109,128,4,3.9,944,40.9,40.9,116,49.8,70,7.4,128,20.7,-4.6,5.7,28386,6664,23.5,5901,2685,45.5,16647,3460,20.8,5838,763,6.74,5612,430,7.7,10.2,10.4,69.5,78.5,69.3,78.5,71.2,78.2,73.6,78.1,72.9,78.6
13125,Glascock,145,3082,2750,89.2,251,8.1,1,0,33,1.1,47,490,43.7,403,36,223,19.9,5,0.4,40759,,,,,,,,,2077,430,20.7,168,8.1,231,566,85,171,280,30,272,16,31,27,50,,1,32,0,0,47,11,11971,17,182,3.8,3.9,90,31.1,31.1,15,50.3,10,11.1,12,25.4,-3.7,,2973,483,16.2,749,222,29.6,1759,207,11.8,465,108,9.29,773,85,11,3,15,64.8,75,66.2,74.7,66.6,74.5,68.7,74.9,68.5,74.7
13127,Glynn,586,79626,51602,64.8,20525,25.8,894,1.1,5126,6.4,1479,12369,38.3,10098,31.3,8542,26.4,1302,4,45918,4338,456,10.5,562.8,6,13,125,312,55802,7097,12.7,15211,27.3,5613,13158,2480,4113,6130,435,7338,16,28,29,25,15,45,55,40,49,67,13,8536,1405,578,3.9,3.8,3040,41.2,41.2,443,57.6,334,11,336,22,-2.3,12.8,80249,14981,18.7,18616,5242,28.2,48294,8703,18,13339,3523,11.09,17650,1460,8.3,10.6,6.9,68.9,76.5,70.2,77,70.8,77.5,72.7,77.4,72.4,78.2
13129,Gordon,358,55186,44107,79.9,1945,3.5,522,0.9,7738,14,874,8338,42.7,6888,35.3,3938,20.2,375,1.9,41612,1695,181,10.7,324.6,4,10,11,156,36477,8751,24,4992,13.7,3777,9281,1561,2798,4492,430,4783,17,29,24,41,18,27,48,13,23,53,11,10281,444,266,4,4,2156,41.2,41.3,273,46.2,150,7,204,20.3,-1.5,8.7,54954,11188,20.4,14022,4206,30,33945,6211,18.3,6987,1901,9.64,13890,926,6.7,6.1,4.5,68.4,77.8,68.7,77.4,70.3,77.4,71.3,77.4,71.7,77.4
13131,Grady,461,25011,14879,59.5,7129,28.5,94,0.4,2500,10,409,4727,51,2885,31.1,1568,16.9,90,1,34187,535,39,7.3,153.3,0,7,5,27,16745,4080,24.4,2224,13.3,2438,5751,1104,1785,2569,293,3030,20,31,32,47,19,11,44,6,24,71,15,8779,329,433,4.8,4.5,1110,48.7,48.7,170,70.3,101,9.1,156,18.2,-8.4,8.4,24941,7648,30.7,6277,3066,48.8,14766,4092,27.7,3898,1082,11.49,5844,1633,27.9,9.2,26.2,68,77.4,67.9,76.5,68.8,76.5,69.8,77.2,70.5,77.3
13133,Greene,406,15994,8771,54.8,6078,38,54,0.3,893,5.6,198,2916,43.5,2019,30.1,1407,21,365,5.4,42408,500,49,9.8,304.5,1,0,4,44,12038,2182,18.1,2968,24.7,1647,3687,541,1126,1832,188,1881,17,30,31,32,25,10,61,13,79,70,17,8898,284,586,4.4,4.2,500,40.8,40.8,49,41.5,43,8.6,58,23,5.1,11.4,16179,4033,24.9,3232,1446,44.7,8949,2214,24.7,3998,601,9.22,2739,305,11.1,17.4,12.8,67,76.4,67.2,76.1,68.2,77.1,71.5,77.5,72.6,78.9
13135,Gwinnett,437,805321,354316,44,184122,22.9,84763,10.5,162035,20.1,20085,73795,26.9,92490,33.8,95482,34.8,12250,4.5,60289,20738,1886,9.1,224,39,190,804,853,540173,68906,12.8,187266,34.7,33679,85433,17890,31997,32220,3325,43003,14,27,21,25,9,505,59,495,56,60,10,9293,10415,412,3.3,3.5,34741,40.8,40.8,2087,23.7,2660,7.7,3631,14.6,-3.5,7.8,853124,117553,13.8,240026,47556,19.8,543981,64617,11.9,69117,30781,11.46,227098,11009,4.8,6,5.4,72,79.1,73.3,79.4,75.1,80.3,75.7,80.2,76.8,80.6
13137,Habersham,279,43041,34621,80.4,1412,3.3,955,2.2,5333,12.4,720,6407,43.1,5028,33.8,3194,21.5,235,1.6,40907,946,62,6.6,142.5,0,7,1,54,29403,6413,21.8,5148,17.5,2175,5379,983,1668,2420,308,3094,17,32,29,24,18,25,58,20,46,66,11,9273,279,215,4,3.9,1526,37,37,164,41.7,127,8.3,179,18,-0.2,7.5,40517,7220,17.8,9873,2583,26.2,23242,4019,17.3,7402,1211,7.83,9526,713,7.5,3.1,7.4,70.4,78.1,71.4,79.1,72.9,79.5,73.3,79.2,74.4,79.5
13139,Hall,429,179684,114300,63.6,12757,7.1,3181,1.8,46906,26.1,2540,20368,32.9,21674,35,17516,28.3,2434,3.9,51202,4612,320,6.9,172.6,6,35,95,184,119969,26391,22,27212,22.7,10100,24734,5147,8775,9855,957,12410,16,26,24,27,13,116,62,87,46,69,11,9304,1389,250,3.8,3.7,7692,45.4,45.4,869,47.8,649,8.4,739,14,-3.3,7.3,185412,34120,18.4,49883,13784,27.6,111542,17757,15.9,23987,5945,9.8,47598,3263,6.9,9.3,6.4,70.1,77.9,71.4,77.9,72.5,77.9,73.5,78.5,74.3,79.3
13141,Hancock,479,9429,2212,23.5,6959,73.8,47,0.5,139,1.5,72,1845,65.5,736,26.1,222,7.9,12,0.4,24925,127,7,5.5,77.8,0,0,2,5,6471,1773,27.4,669,10.3,1113,2348,321,664,1213,150,1319,21,36,30,18,18,2,23,1,12,62,20,8076,229,840,5,4.5,255,37.5,37.5,28,32.2,44,17.3,40,24.5,1.4,16.4,6971,2113,30.3,1431,694,48.5,3972,1122,28.2,1568,422,12.63,1590,456,28.7,21.8,23.3,64.8,75,66.2,74.7,66.6,74.5,68.7,74.9,68.5,74.7
13143,Haralson,283,28780,26516,92.1,1342,4.7,139,0.5,318,1.1,465,4513,42,3476,32.4,2653,24.7,91,0.8,41910,1008,166,16.5,584.5,1,6,4,155,19040,4107,21.6,2684,14.1,2384,5741,787,1624,3059,271,3018,17,29,28,13,29,14,49,6,21,56,11,9876,246,288,3.8,3.9,1080,41.4,41.4,154,57.2,91,8.4,100,17.4,-2.4,12.8,28162,5724,20.3,7011,1944,27.7,17029,3302,19.4,4122,1021,9.49,6803,751,11,3.7,12.7,68.1,77.5,69,77.4,69.9,77.5,70,77,69.8,76.2
13145,Harris,473,32024,24848,77.6,5457,17,280,0.9,872,2.7,567,3226,27.9,3224,27.9,4496,38.9,624,5.4,63824,349,28,8,86,0,0,1,27,22842,2381,10.4,6080,26.6,1177,2612,367,726,1364,155,1447,13,30,23,32,19,20,61,5,15,69,11,8667,272,279,3.1,3.3,910,31.1,31.1,79,25.2,63,6.9,106,17.3,-3.1,9.9,32318,2991,9.3,7238,865,12,20044,1766,8.8,5036,744,6.29,7265,221,3,6.4,4.3,69.2,76.5,70,77.4,70.8,78.1,73.3,78.9,75,79.5
