FIPS,County,"Area, Square Miles",2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population,"Income: #, Household income less than $35,000","Income: %, Household income less than $35,000","Income: #, Household income $35,000 to $74,999","Income: %, Household income $35,000 to $74,999","Income: #, Household income $75,000 to $200,000","Income: %, Household income $75,000 to $200,000","Income: #, Household income $200,000 or more","Income: %, Household income $200,000 or more",Income: Median household income,"Total Index Crimes Reported, 2012","Violent Crimes Reported, Total, 2012","Violent Crimes Reported, % of Total, 2012","Violent Crimes Reported, Rate per 100,000,  2012","Violent Crimes Reported, Murder, 2012","Violent Crimes Reported, Rape, 2012","Violent Crimes Reported, Robbery, 2012","Violent Crimes Reported, Aggravated Assault, 2012","Educational Attainment: #, Population 25 years and over","Educational Attainment: #, Less than HS or GED","Educational Attainment: %, Less than HS or GED","Educational Attainment: #, BA or Higher","Educational Attainment: %, BA or Higher","Households receiving food stamps, June 2010","Total food stamp recipients, June 2010","Food stamp recipients, age 0-4 , June 2010","Food stamp recipients, age 5-17 , June 2010","Food stamp recipients, age 18-64 , June 2010","Food stamp recipients, age 65+ , June 2010","Households receiving food stamps, June 2012",% of adults who smoke,% of adults who are obese,% of adults who are physically inactive ,% Alcohol Impaired Deaths ,Motor Vehicle Mortality Rate,# Primary Care Physicians,Primary Care Physicians Rate,# Dentists,Dentist Rate,% Female Medicare enrollees ages 67-69 that receive mammography screenings,% Diabetic,Average healthcare costs per person,"Sexually Transmitted Diseases (STD) Cases, 2011-2013","STD Rate, per 100,000, 2011-2013",Avg # of Physically Unhealthy Days in past 30 days (age-adjusted),Avg # of Mentally Unhealthy Days  in past 30 days (age-adjusted),"Total births, 2010-2012","Birth rate, per 1,000 women age 10-55, 2010-2012","BIRTH RATE, 2010-2012","Teen births, age 15-19, 2010-2012","Birth rate, per 1,000 women age 15-19, 2010-2012","Low birth weight (<2,500 grams) births, 2010-2012","% all births that are low birth weight, 2010-2012","Premature births (<37 weeks), 2010-2012","% of all discharges for ""treatable"" illnesses, 2010-2012","Change in Birth Rate, 2010-2014","% Low Birth Weight Births, 2014","Poverty: #, Population for whom poverty status is determined","Poverty: #, Population in poverty","Poverty: %, Population in poverty","Poverty: #, Population under 18 years for whom poverty status is determined","Poverty: #, Population under 18 years in poverty","Poverty: %, Population under 18 years in poverty","Poverty: #, Population 18 to 64 years for whom poverty status is determined","Poverty: #, Population 18 to 64 years in poverty","Poverty: %, Population 18 to 64 years in poverty","Poverty: #, Population 65 years and over for whom poverty status is determined","Single Parent Families, 2010","Single Parent Families (as % of total Households), 2010","Own Children in Families, 2008-12","Children with no Parent in the Labor Force, 2008-12","% Children with no Parent in the Labor Force, 2008-12","% At Risk Youth: Not in School or Labor Force, Ages 16-19, 2010-2014 (avg)","% Children with No Parent in the Labor Force, 2010-2014 (avg)","Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)"
13021,Bibb,256,155547,65494,42.1,80744,51.9,2492,1.6,4389,2.8,2428,27534,48.2,16495,28.9,11396,20,1686,3,36519,10102,801,7.9,511.9,24,56,287,434,99442,16687,16.8,23664,23.8,17432,39486,6561,12645,18930,1350,21614,21,31,27,22,17,192,124,85,55,68,14,10038,5849,1251,4.6,4.4,6898,45.8,45.8,851,49.7,907,13.1,1006,21.7,-0.3,14.2,148196,40611,27.4,38377,16356,42.6,89618,21749,24.3,20201,8750,14.51,36761,5202,14.2,7.7,15.2,66.9,75.1,67.1,75,67.6,74.9,69,75.9,69.4,75.5
13023,Bleckley,219,13063,9000,68.9,3533,27,109,0.8,301,2.3,120,1927,46.9,1124,27.3,1018,24.8,44,1.1,38991,391,20,5.1,154.9,0,4,5,11,7898,1256,15.9,1303,16.5,940,2083,356,593,1013,121,1145,18,30,29,20,23,4,31,2,16,61,12,10797,276,708,4.1,4.1,406,31.6,31.6,57,24,29,7.1,37,25,3.5,5.5,11153,2616,23.5,2809,942,33.5,6364,1414,22.2,1980,488,10.47,2613,254,9.7,8.6,8.7,66.6,76.4,66.8,76,68.4,76.3,69.3,77.1,70.2,76.3
13025,Brantley,448,18411,17198,93.4,531,2.9,37,0.2,343,1.9,302,3092,47,2216,33.7,1233,18.7,40,0.6,37206,386,38,9.8,204.4,1,9,5,23,12057,2533,21,1014,8.4,1114,2941,444,844,1539,114,1323,19,35,27,29,37,3,16,,,54,11,11658,185,335,4.2,4,590,34.6,34.6,118,63.2,52,8.8,50,22.2,0.4,7.8,18117,3812,21,4542,1120,24.7,11067,2319,21,2508,709,10.3,4235,719,17,7.8,19.4,67.8,76.1,68.6,76.2,69.5,75.7,70.7,76.1,70.9,76.7
13027,Brooks,498,16243,9425,58,5695,35.1,51,0.3,853,5.3,219,3410,51.8,2192,33.3,898,13.7,77,1.2,32663,566,87,15.4,564.8,0,12,10,65,10722,2359,22,1253,11.7,1710,3934,623,1141,1920,250,2072,19,35,29,28,17,5,32,1,6,62,15,10162,410,876,4.4,4.2,648,46.9,46.9,94,67.3,66,10.2,86,20.6,2.8,8.9,15447,4265,27.6,3310,1403,42.4,9331,2448,26.2,2806,584,9.04,3309,238,7.2,3.2,8.2,67.7,76.1,68.4,75.9,68.3,76.4,69,76.2,70.3,76.9
13029,Bryan,455,30233,23446,77.6,4210,13.9,473,1.6,1336,4.4,768,3092,27,3574,31.2,4378,38.3,397,3.5,63327,656,54,8.2,167.6,0,5,8,41,20937,2179,10.4,6513,31.1,1248,3159,521,1029,1463,146,1570,15,28,26,14,20,24,72,12,35,70,9,10181,427,441,3.4,3.5,1420,45.5,45.5,90,27.6,104,7.3,150,18.3,6,7.7,32997,4487,13.6,9575,1857,19.4,20343,2419,11.9,3079,1303,12.13,8672,523,6,5.7,6.9,66,75.8,67.7,76.4,70.5,77.3,71.7,77.1,72.5,77.2
13031,Bulloch,689,70217,46251,65.9,19252,27.4,1013,1.4,2439,3.5,1262,12693,48.6,7544,28.9,5408,20.7,483,1.8,36032,2430,120,4.9,165.1,4,23,60,33,38297,5065,13.2,11113,29,4020,9520,1647,2869,4668,336,5636,20,35,25,20,17,40,56,28,39,58,10,10283,2355,1086,4.6,4.3,2467,32.4,32.4,266,20.9,233,9.4,287,20.5,4.4,9,66236,21794,32.9,14499,4691,32.4,44828,16301,36.4,6909,2431,9.51,13302,1016,7.6,4.6,7.5,69.8,77.9,70.6,77.5,71.3,77.9,72.5,78,72.2,78.4
13033,Burke,835,23316,10844,46.5,11469,49.2,68,0.3,617,2.6,318,4220,52.1,2010,24.8,1831,22.6,41,0.5,33641,549,100,18.2,432.4,1,1,11,87,14667,3285,22.4,1406,9.6,2814,6854,1119,2215,3217,303,3308,21,32,28,36,30,9,39,2,9,59,15,8288,721,1037,4.7,4.5,984,44.5,44.5,156,63.5,132,13.4,138,24.6,-1.8,10.3,22709,7131,31.4,6050,2806,46.4,13627,3625,26.6,3032,1379,16.16,6133,1204,19.6,5.3,19.8,65.5,75.6,65.8,74.5,65.6,74.1,66.9,74.7,67.3,74.9
13035,Butts,188,23655,16200,68.5,6431,27.2,100,0.4,597,2.5,327,3311,42.6,2359,30.3,1994,25.6,110,1.4,41667,624,65,10.4,276.3,0,10,12,43,16079,3844,23.9,1622,10.1,1922,4546,665,1365,2299,217,2355,17,31,30,7,19,6,26,4,17,55,11,9623,355,504,3.7,3.7,854,43.4,43.4,116,57.6,88,10.3,105,19.4,-3.6,8.9,20776,4329,20.8,4854,1582,32.6,12916,2427,18.8,3006,774,9.82,4844,566,11.7,13.5,12,68.3,75.9,68.2,76.2,68.2,75.9,70.6,76.3,71.1,76
13037,Calhoun,284,6694,2250,33.6,4092,61.1,30,0.4,262,3.9,60,1181,64.3,392,21.4,205,11.2,58,3.2,25513,133,43,32.3,661.1,0,0,11,32,4536,1235,27.2,450,9.9,730,1607,246,508,722,131,881,25,35,28,0,,2,31,2,31,53,18,8620,190,961,5.5,4.7,198,43.1,43.1,31,65.7,22,11.1,24,23.1,-13.8,15.6,4622,1924,41.6,1121,580,51.7,2783,1140,41,718,248,12.39,1178,72,6.1,2.8,12.8,65.4,75.4,66.1,75.1,65.9,74.9,67.6,74.6,68.2,75.4
13039,Camden,783,50513,35977,71.2,9621,19,706,1.4,2590,5.1,1619,5735,30.8,6844,36.7,5634,30.2,425,2.3,52473,1648,207,12.6,402.7,2,7,23,175,31575,2766,8.8,6668,21.1,2624,6735,1167,2094,3290,184,3310,16,32,25,17,17,18,35,17,33,64,10,9168,654,427,3.7,3.6,2443,49.8,49.8,233,44.3,170,7,230,16.6,-0.9,5.2,49724,6365,12.8,12964,2326,17.9,31365,3402,10.8,5395,2115,11.72,12759,1106,8.7,4.8,6.2,68,75.7,70.5,76.2,72.3,77.9,73.6,77.6,74.5,77.6
