weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"All hospital discharges, deduplicated, 2011-2013","All Hospital discharges, deduplicated, 2011-2013, per 100,000 pop","Discharges for cancers, deduplicated, 2011-2013","Discharge rate, per 100,00, for cancers, deduplicated, 2011-2013","Discharges for major cardiovascular diseases, deduplicated, 2011-2013","Discharge rate, per 100,000 for major cardiovascular diseases, deduplicated, 2011-2013","Discharges for Diabetes, deduplicated, 2011-2013","Discharge rate, per 100,000 for diabetes, deduplicated , 2011-2013"
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford,[object GeneralizedGeometry],13079,Crawford,4298,11409,121,321,688,1826,62,165
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp,[object GeneralizedGeometry],13081,Crisp,7984,11301,191,270,1451,2054,169,239
[object GeneralizedGeometry],41677,DADE,15.5,72.2,Dade,[object GeneralizedGeometry],13083,Dade,522,1053,12,24,30,61,13,26
[object GeneralizedGeometry],53289,DAWSON,16.7,76.1,Dawson,[object GeneralizedGeometry],13085,Dawson,5219,7724,189,280,731,1082,40,59
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur,[object GeneralizedGeometry],13087,Decatur,7539,9131,165,200,860,1042,167,202
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb,[object GeneralizedGeometry],13089,DeKalb,163006,7688,4355,205,19147,903,3189,150
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge,[object GeneralizedGeometry],13091,Dodge,7183,11146,174,270,1163,1805,151,234
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly,[object GeneralizedGeometry],13093,Dooly,3505,8112,106,245,619,1433,69,160
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty,[object GeneralizedGeometry],13095,Dougherty,29104,10311,716,254,4008,1420,627,222
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas,[object GeneralizedGeometry],13097,Douglas,33763,8363,894,221,4214,1044,553,137
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early,[object GeneralizedGeometry],13099,Early,2866,8980,53,166,256,802,70,219
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols,[object GeneralizedGeometry],13101,Echols,1084,8904,24,197,128,1051,10,82
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham,[object GeneralizedGeometry],13103,Effingham,12548,7823,416,259,1390,867,194,121
[object GeneralizedGeometry],35053,ELBERT,25,73.3,Elbert,[object GeneralizedGeometry],13105,Elbert,6208,10492,154,260,949,1604,88,149
[object GeneralizedGeometry],31675,EMANUEL,24.4,70.3,Emanuel,[object GeneralizedGeometry],13107,Emanuel,8307,12157,184,269,1211,1772,119,174
[object GeneralizedGeometry],36602,EVANS,23.8,71.3,Evans,[object GeneralizedGeometry],13109,Evans,3862,11851,92,282,426,1307,78,239
[object GeneralizedGeometry],35446,FANNIN,24.5,75.4,Fannin,[object GeneralizedGeometry],13111,Fannin,5911,8330,185,261,873,1230,69,97
